Timestamp,N1_Data,N2_Data,N3_Data,N4_Data,N5_Data
2026/03/23 21:03:50,M:100.0,T:32.8,H:48.8,B:0,M:52.0,T:24.9,H:56.2,B:45,M:91.0,T:24.8,H:61.7,B:66,M:49.0,T:24.8,H:65.3,B:69,M:41.0,T:26.3,H:52.1,B:47
2026/03/23 21:33:50,NA,NA,NA,NA,M:52.0,T:24.7,H:60.2,B:49,M:91.0,T:24.7,H:64.5,B:66,NA,NA,NA,NA,M:41.0,T:26.3,H:57.2,B:47
2026/03/23 22:03:50,M:100.0,T:33.6,H:52.0,B:0,M:52.0,T:24.6,H:63.9,B:46,M:91.0,T:24.9,H:67.0,B:66,M:49.0,T:25.0,H:68.5,B:68,M:41.0,T:26.2,H:60.7,B:46
2026/03/23 22:33:50,M:100.0,T:32.9,H:53.8,B:0,M:53.0,T:24.2,H:67.0,B:48,M:91.0,T:24.6,H:69.0,B:66,M:49.0,T:24.8,H:70.4,B:69,M:41.0,T:25.6,H:63.8,B:46
2026/03/23 23:03:50,M:100.0,T:31.6,H:56.8,B:0,M:53.0,T:24.0,H:70.2,B:43,M:91.0,T:24.5,H:71.1,B:65,M:49.0,T:24.7,H:72.1,B:68,M:41.0,T:25.4,H:66.7,B:45
2026/03/23 23:33:50,M:100.0,T:30.5,H:59.2,B:0,M:53.0,T:23.8,H:72.3,B:41,M:91.0,T:24.4,H:72.7,B:65,NA,NA,NA,NA,M:41.0,T:25.1,H:69.1,B:45
2026/03/24 00:03:50,M:100.0,T:30.0,H:63.3,B:0,M:53.0,T:23.7,H:74.6,B:42,M:91.0,T:24.5,H:73.9,B:65,NA,NA,NA,NA,M:41.0,T:25.0,H:72.2,B:44
2026/03/24 00:33:50,M:100.0,T:35.2,H:54.6,B:0,M:53.0,T:23.9,H:76.7,B:45,NA,NA,NA,NA,M:50.0,T:24.7,H:75.5,B:67,M:41.0,T:24.8,H:75.0,B:43
2026/03/24 01:03:50,M:100.0,T:37.3,H:52.5,B:0,M:53.0,T:23.6,H:78.1,B:42,M:91.0,T:24.4,H:76.5,B:65,M:50.0,T:24.6,H:76.6,B:68,M:41.0,T:24.6,H:76.9,B:43
2026/03/24 01:33:50,M:100.0,T:46.9,H:38.4,B:15,M:53.0,T:23.7,H:79.8,B:41,M:91.0,T:24.5,H:77.6,B:65,M:50.0,T:24.6,H:77.6,B:67,M:41.0,T:24.5,H:78.7,B:42
2026/03/24 02:03:50,M:100.0,T:40.5,H:42.7,B:0,M:53.0,T:23.4,H:80.6,B:40,M:91.0,T:24.5,H:78.3,B:65,M:50.0,T:24.6,H:78.4,B:67,M:42.0,T:24.4,H:79.6,B:41
2026/03/24 02:33:50,M:100.0,T:36.3,H:52.1,B:0,M:53.0,T:23.1,H:81.4,B:40,M:91.0,T:24.1,H:79.1,B:65,M:50.0,T:24.3,H:79.1,B:67,M:42.0,T:23.9,H:79.8,B:41
2026/03/24 03:03:50,M:100.0,T:34.6,H:57.6,B:0,M:54.0,T:22.8,H:82.2,B:41,M:91.0,T:23.8,H:80.0,B:64,M:50.0,T:24.1,H:79.9,B:67,M:42.0,T:23.6,H:80.6,B:42
